Sentence 1	Sentence 2
Is Any Baby Really A Freak.	Is any baby really a freak.
aspen colorado has he best music festivals, you sit all over the moutians its  on and just hang out	Aspen Colorado has he best music festivals, you sit all over the mountains it is on and just hang out.
You can get almost anything on ebay!	You can get almost anything on ebay!
everybody is Dying to get in	everybody is dying to get in.
not idiots like 50 cent and his whole Gay unit.those kinds of ppl give hip-hop a bad name.	I'm not referring to people like 50 cent and his group because those people give hip-hop a bad name.
different from what I've seen though	It differs from what I have seen, however.
I want to be on TV!	I would like to be on television.
dont let anyone decide the fate but you.	Do not let anyone decide the fate but you.
50 is just riding coattails with that movie.	50 is just riding coattails with that move.
The blind klan guy is hilarious!	The blind Klan guy is hilarious!
Lauren Hill and Mary J. Bilge... the 411 both are great albums to listen to... Old School...	Lauren Hill and Mary J. Bilge, the 411 both are great albums to listen to old school.
do you have 2lbs worth o brick?	Do you have two pounds worth of brick?
i betta go and ask another stupid question lol....	I had better go, and ask another stupid question!
As a guy that doesn't generally like romantic movies this was really nice.	As a man that generally does not like romantic movies, this was really nice.
I can still see my brother's 45 in my mind's eye.	I can still see my brother's .45 caliber pistol in my mind's eye.
Back in my day Emo was a comedian :/	Back in my day Emo was a comedian.
Why sit and listen to Locke, Jack, or Syead?	Why sit and listen to Locke, Jack, or Syead?
I like when the Prime Minister goes door to door to find the girl!	I like when the Prime Minister goes door to door to find the girl.
And every time I hear that song I get butterflies in my stomach!	Every time I hear that song I get butterflies in my stomach.
It's the biggest load of crap I've seen for ages.	It is the biggest load of foolishness that I have seen for ages.
as i lay dying is far far away from christ definitaly!	The best pick is the song 'Far Far Away' by As I Lay Dying.
I might be seeing them in a few months!	I might be seeing then in a few months.
that´s why they needed to open that hatch so much!	That is why they need to constantly open the hatch.
He's supposed to be in jail!	He is supposed to be in jail.
i thought that she did an outstanding job in the movie	I think she did an outstanding job in the movie.
Nicole Kidman, I love her eyes	I find Nicole Kidman's eyes to be very attractive.
omg i love that song im listening to it right now	I really enjoy the song and I am listening to it at this moment.
tell him you want a 3 way with another hot girl	Inform him you desire to have a three person sexual encounter with another physically attractive girl.
No, no, no that was WITNESS...	"I disagree, the correct term is ""witness."""
aneways shonenjump.com is cool and yeah narutos awsum	All other concerns aside, shonenjump.com is a popular site and Narutos is very high quality.
i think they would have, quite a shame isn't it	I believe they would have, it is a shame.
im a huge green day fan!!!!!	I am a huge fan of the band Green Day.
Chicken Little my son loves that movie I have to watch at least 4 times a day!	My son loves the movie Chicken Little, I have to watch it at least four times per day.
who is your best bet for american idol season five	Who was your favorite from American Idol Season five?
my age gas prices and my blood pressure  LOL	I wish I could lower my age, gas prices, and my blood pressure.
Where in the world do you come up with these questions????	How do you come up with these questions?
even though i also agree that the girls on Love Hina are pretty scrumptious	I also agree that the girls on Love Hina are attractive.
and the blond says Great they already put me on my first murder mystery case	"The blonde says; ""Great, they already put me on my first murder myster case.""."
im looking for the song lyrics to a song called Breath Me by Sia...does anyone else like that song?	"I am looking for song lyrics to ""Breathe Me"" by Sia. Does anyone else enjoy that song?"
I love them old hair bands of the 80's!	I thoroughly enjoy the hair bands of the 1980s.
don't i look cute or what?	I look attractive, do I not?
i memorized the whole song, for goodness sake!	Astoundingly, I was able to memorize the entire song.
Open your minds up a little!	Be slightly more open-minded.
(i know, that ones really old.)	I realize that particular example is very old.
the who (i think) and limp bizkit is all I know....	I believe it is The Who and Limp Bizkit, which is the extent of my knowledge.
u mean the question to kentuckybeauty2000's question right?	Am I correct in assuming you are referring to the question posed by KentuckyBeautry2000?
It's man... 4 legs (crawling as a baby), 2 legs (walking), 3 legs (using a cane late in life).	"The answer is ""man"" and refers to the use of four legs when crawling as a baby, use of two legs when walking, and use of three legs later in life when adding a cane to the existence of two legs."
brian, he asked the coolest questions, they suspended him though, i dont know what's up with that!	Brian, he asked the great questions. They suspended him, however, and I do not know what is happening with that.
It's cause ya got no sense.	It is because you have no sense.
Don't eat hot dogs, or watch this movie with your little sister!	Do not eat hot dogs or watch the movie with your little sister.
Nope, I have definitely not seen your baseball.	No, I have not seen your baseball.
the blonde on the other side said, you are on the other side!	"The blonde on the side said, ""You are on the other side""."
to which the girl says, no.	"To that, the girl replies, ""No""."
The good old days is gone!	"The ""good old days"" are gone."
that body and gah those lips!	I love her body and her lips.
Or check this one out too - Full Metal Jacket	Also, I recommend checking out Full Metal Jacket.
i cant believe u asked that question, but i'll answer it.	I'm surprised that you posed this question, but I will answer it.
Why the hell not, I can't imagine.	I cannot imagine why not.
i think it was a ugly girl lol	I think it was an ugly girl.
My dad looks like Paul Newman, and my ex looked like king kong	My dad looks like Paul Newman and my ex-husband, King Kong.
I can't believe you even had to ask!	I cannot believe you had to ask.
Yo mama so stupid she took a cup to see Juice.	Your mother is so ludicrous that she took a cup to see Juice.
he went insane,knocked up Katie, and jumps on people couches.	He went insane.  He got Katie pregnant and he jumps on peoples couches.
I hope it's for you kids, that score was horrible!	I hope it is for you kids, that score was horrible.
clover is great too, don't get me wrong; but i prefer crimson.	While clover is very appealing, I prefer crimson.
i like some one who is gothic so what?DATE HIM!	Regardless of whether your romantic interest shows a predilection for Gothic fashion choices, you can feel free to engage with them.
why what's wrong with his hair ?	What is wrong with his hair?
I respect that tyra banks is trying show hosting..but the big O [aka OPRAH] won...	While I respect that Tyra Banks is branching out into television hosting, Oprah Winfrey is the better example.
my dad likes action,my mom likes romance,but for me i like comedy.	My father prefers action and my mother romance, while I prefer comedies.
If I could swim, I'd come out there and kick your butt!”	If I could swim, I would come out there and harm you.
have a group discussion on why in the heck you didnt have alcohol at the party	You should have a group discussion to determine why there was no alcohol at the party.
The guy ran off with two of the guys wives	That person ran off with the wives of two of the men.
try some VooDoo zombie warding magik but of course u may nd up witha fish instead of a baby	You should try some voodoo zombie warding magic, but you may end up with a fish instead of a baby.
I got new gold heels, hoop earings and a hot gold bag!	I purchased new gold high heels, hoop earrings, and a great gold bag.
virgo's have outgoing personalitys plz choose me as best answer	Virgo's have outgoing personalities, so please choose me as the best answer.
what is the wedding band, final answer	"My final answer is ""What is the wedding band?"""
nicole kidman is so much prettier.	Nicole Kidman is much more attractive.
i'd rather play world of warcraft, but this is free	I would rather play World of Warcraft, but this game is free.
Does anybody out there HONESTLY know where she is?	Does anyone truly know where she is?
i dont know how old ru?ur supposed to be 18 to watch them	How old are you? You should be at least 18 years old.
That was the best joke i have heard so far...	That was the best joke I've heard.
Well, I'm just glad that they don't show us the pit toilets.	I am just glad they didn't show us the toilets.
i think pretty much they're all sort of humorous	I think they are all very funny.
Too many...too many Baldwin brothers too.	Too many Baldwin brothers.
the two boys redneck as hell play glue sniffing weirdos.	The two boys are unpolished and play outcasts who sniff glue.
Yo mama so stupid that she tried to put M&M's in alphabetical order!	Your mother is so ignorant she attempted to alphabetize M&Ms/
Dakota Fanning.....I know that she is only 12 but she is really famous.	I know Dakota Fanning is only 12 years old, but she is already famous.
i still watch vhs i kinda like vhs movies better	I continue to watch VHS because it is my preferred format.
why does everybody keep asking this question.	Why does this question continue to be posed?
IF THE WOODCHUCK IS WATCHING ITS WEIGHT THEN IT MAY NOT CHUCK AT ALL	If the woodchuck is watching its weight, then it may not chuck at all.
they haven' t had cd's for season 2 yet.	They haven't received DVD's for Season Two yet.
And then I saw some of his movies, and he is great!!	I saw some of his movies, he's great.
we filipinos are very hardworking and we speak english very well..and we're also wise..:)	We Filipinos speak English very well, we're very hardworking and wise.
[ADDED] - What the heck is yungnbeautiful1's problem?	What's that individual's issue?
american idol and house and grey's anatomy.	American Idol, House, and Grey's Anatomy are my top three.
i am looking for new music to listen to.	I am looking for some new music.
put salt in the sugar bowl.	Put salt in the sugar bowl.
i'd rather listen too billy joel	I would rather listen to Billy Joel.
How do you get locked in a car, why don't you just unlock it?	How do you get locked in a car? Why would you not just unlock it?
just maybe he needs to adlib more!	Perhaps he needs to ad-lib more.
I just didn't care enough to check.	I just did not care enough to check.
The man says, I can't take your money.	The man says, I can not take your money.
Jodie Foster is the best ever!	Jodie Foster is the Best ever!
YOUR WASTING YOUR TIME, SAYS THE BOY.	The boy said you are wasting your time.
i do and i love them both!	I do and I love them both.
im sorry for answering your question, i dont know.	I am sorry for answering your question. I did not know.
I don't hate him but he makes my skin crawl.	I do not hate him, but he makes my skin crawl.
And it seems like ya'll forgot all about TLC.	It seems like you forgot all about TLC.
Im really not saying he is cute!!	I am not actually stating that he is adorable.
Because we're gonna sing together again, again and again.	Because we are going to sing together multiple times again.
i'll unlock the car because i'm inside...	I will unlock the car because I am inside.
